max_depth,nround,alpha,gamma,mean_score
4,40,5,0.1,0.15381269434817
4,40,5,5,0.152197511090749
4,30,5,5,0.151749286944705
2,40,0.2,0,0.151406229090031
2,40,0.2,0.1,0.151406229090031
2,40,0,0,0.15127354990145
2,40,0,0.1,0.15127354990145
2,40,0,5,0.150823001772546
4,20,0.2,5,0.1506001050806
4,20,5,5,0.150499693594577
4,40,0.2,5,0.150179549049549
2,40,5,0.1,0.150066143201286
2,40,5,0,0.150051768776263
6,30,0,5,0.149937547595996
2,40,0.2,5,0.149720237183116
6,40,0,5,0.149477128715904
2,40,5,5,0.149435383390016
6,40,5,0.1,0.149382558156227
4,30,0,0.1,0.149269370242936
4,40,0,0.1,0.149231052205385
6,20,5,5,0.14911085347763
2,30,5,0.1,0.148908932710286
2,30,0,5,0.148866565620042
4,20,0,5,0.148857870673219
4,20,0,0,0.148644026864946
4,20,0,0.1,0.148638560392387
4,40,5,0,0.148587868773484
2,30,5,0,0.148582367853975
4,40,0,0,0.148569757565486
2,30,0,0,0.148418557247836
2,30,0,0.1,0.148418557247836
4,30,5,0.1,0.148377315042572
4,40,0,5,0.148313939438925
6,30,5,5,0.148205082492585
4,30,0.2,5,0.14792559566357
2,30,0.2,5,0.147784572364894
6,40,5,5,0.147768334759225
6,30,5,0.1,0.147586961727682
2,30,0.2,0,0.14758418723094
2,30,0.2,0.1,0.14758418723094
4,20,0.2,0,0.147224033828736
4,30,0.2,0.1,0.147163186837737
4,20,5,0.1,0.147027103213792
4,30,5,0,0.146952054137088
4,20,5,0,0.146827612347202
4,20,0.2,0.1,0.146822330905594
6,20,0,5,0.146711453240444
4,40,0.2,0,0.146212024244432
6,40,0.2,5,0.146195511288347
4,30,0.2,0,0.145839209823136
6,20,0.2,5,0.145645956121223
4,30,0,0,0.145566638784138
4,40,0.2,0.1,0.145257088022876
6,30,5,0,0.145048077499606
4,30,0,5,0.144723332458309
6,20,0.2,0.1,0.144158322138185
6,30,0,0.1,0.144117505361926
6,30,0.2,0,0.144098794069081
6,20,5,0,0.143966908897015
6,40,0.2,0.1,0.143475316664507
6,40,0,0.1,0.143314919417149
6,30,0.2,5,0.143304510371915
6,20,0,0,0.143272450431167
6,20,0,0.1,0.143083483807182
2,30,5,5,0.14305141697301
6,40,5,0,0.142981227678608
6,30,0.2,0.1,0.14257258672861
6,30,0,0,0.142428038149582
6,20,5,0.1,0.141908722469149
6,20,0.2,0,0.141670717094387
6,40,0.2,0,0.140970268266783
6,40,0,0,0.140634949686501
2,20,0.2,0,0.134736284153527
2,20,0.2,0.1,0.134736284153527
2,20,0,0,0.134225829873015
2,20,0,0.1,0.134225829873015
2,20,5,5,0.1323635455069
2,20,5,0.1,0.131188028478885
2,20,5,0,0.130798147842341
2,20,0.2,5,0.129821456536473
2,20,0,5,0.129723646822727
6,10,5,5,0.0703531034468834
4,10,5,5,0.0703025719337651
2,10,5,5,0.0702527081814299
2,10,5,0,0.069808631907199
2,10,5,0.1,0.069808631907199
4,10,5,0,0.0697546715218594
4,10,5,0.1,0.0697452094615288
6,10,5,0.1,0.0696965412713429
6,10,5,0,0.069691727904988
6,10,0,5,0.067660182813708
6,10,0.2,5,0.0675472288966835
6,10,0,0,0.0674944011547175
6,10,0,0.1,0.0674191141984531
4,10,0.2,5,0.0666112424145909
2,10,0.2,5,0.0663091444247786
6,10,0.2,0,0.0662428491438781
2,10,0,5,0.0661601622769951
6,10,0.2,0.1,0.0658974646861292
4,10,0,5,0.0658766616093964
4,10,0.2,0.1,0.0648037139640097
4,10,0.2,0,0.0647949692637121
4,10,0,0.1,0.0642041474617531
4,10,0,0,0.0641894378996576
2,10,0,0,0.0595544731952503
2,10,0,0.1,0.0595544731952503
2,10,0.2,0,0.0594966746601676
2,10,0.2,0.1,0.0594966746601676
